diseaseId,diseaseName,is_leaf_term,is_therapeutic_area,targetEnsemblId,targetSymbol,score,uniprot,passed,reason,n_candidates_checked,best_pdb_id,best_chain,ligand,resolution,resolution_tier,r_free,modeled_residues,ligand_RSCC,ligand_RSR,organism_bacterial,chembl_target_ids,best_chembl_target_id,chembl_counts_all,activity_type,activity_records
MONDO_0003847,hereditary disease,False,False,ENSG00000068078,FGFR3,0.9325,P22607,True,,12.0,6PNX,B,ACP,2.199,high,0.2299,585.0,0.779,0.148,False,CHEMBL2095217;CHEMBL2742;CHEMBL5291680,CHEMBL2742,CHEMBL2095217=289;CHEMBL2742=6340;CHEMBL5291680=0,IC50,6340.0
MONDO_0003847,hereditary disease,False,False,ENSG00000066468,FGFR2,0.9278,P21802,True,,53.0,2PVF,A,ACP,1.8,high,0.2652,292.0,0.939,0.089,False,CHEMBL2095217;CHEMBL2111434;CHEMBL4142;CHEMBL4802036;CHEMBL5291678;CHEMBL6066126,CHEMBL4142,CHEMBL2095217=289;CHEMBL2111434=0;CHEMBL4142=4796;CHEMBL4802036=0;CHEMBL5291678=0;CHEMBL6066126=0,IC50,4796.0
MONDO_0003847,hereditary disease,False,False,ENSG00000001626,CFTR,0.9261,P13569,True,,33.0,2PZE,A,ATP,1.7,high,0.2468,445.0,0.98,0.059,False,CHEMBL3885559;CHEMBL4051,CHEMBL4051,CHEMBL3885559=0;CHEMBL4051=158,IC50,158.0
MONDO_0003847,hereditary disease,False,False,ENSG00000141510,TP53,0.9255,P04637,True,,150.0,6GGB,B,EPE,1.32,high,0.1612,396.0,0.751,0.188,False,CHEMBL1907611;CHEMBL2221344;CHEMBL3301383;CHEMBL3883306;CHEMBL3885543;CHEMBL3885544;CHEMBL3885545;CHEMBL4096;CHEMBL4879538;CHEMBL6066147;CHEMBL6066834,CHEMBL1907611,CHEMBL1907611=1820;CHEMBL2221344=83;CHEMBL3301383=1;CHEMBL3883306=0;CHEMBL3885543=10;CHEMBL3885544=10;CHEMBL3885545=1;CHEMBL4096=29;CHEMBL4879538=0;CHEMBL6066147=0;CHEMBL6066834=0,IC50,1820.0
MONDO_0003847,hereditary disease,False,False,ENSG00000157764,BRAF,0.9232,P15056,True,,105.0,6XFP,A,V1Y,2.0,high,0.2568,272.0,0.936,0.075,False,CHEMBL3559685;CHEMBL3883317;CHEMBL4106189;CHEMBL4523687;CHEMBL5145;CHEMBL5291967,CHEMBL5145,CHEMBL3559685=2;CHEMBL3883317=0;CHEMBL4106189=0;CHEMBL4523687=0;CHEMBL5145=11017;CHEMBL5291967=0,IC50,11017.0
MONDO_0003847,hereditary disease,False,False,ENSG00000165731,RET,0.9228,P07949,True,,27.0,4CKJ,A,ADN,1.65,high,0.1811,293.0,0.948,0.087,False,CHEMBL2041;CHEMBL3430877;CHEMBL3430888;CHEMBL3430904;CHEMBL4523602;CHEMBL6195572;CHEMBL6195575,CHEMBL2041,CHEMBL2041=25354;CHEMBL3430877=2;CHEMBL3430888=116;CHEMBL3430904=57;CHEMBL4523602=0;CHEMBL6195572=0;CHEMBL6195575=62,IC50,25354.0
MONDO_0003847,hereditary disease,False,False,ENSG00000133703,KRAS,0.9217,P01116,True,,150.0,9IAY,A,GDP,0.953,high,0.1908,168.0,0.994,0.032,False,CHEMBL2189121;CHEMBL4523623;CHEMBL4524006;CHEMBL5169273;CHEMBL5291977;CHEMBL5465393;CHEMBL5483196;CHEMBL6193817;CHEMBL6193831,CHEMBL2189121,CHEMBL2189121=5903;CHEMBL4523623=0;CHEMBL4524006=4;CHEMBL5169273=2;CHEMBL5291977=26;CHEMBL5465393=444;CHEMBL5483196=0;CHEMBL6193817=0;CHEMBL6193831=0,IC50,5903.0
MONDO_0003847,hereditary disease,False,False,ENSG00000077782,FGFR1,0.9211,P11362,True,,74.0,5EW8,A,5SF,1.63,high,0.2059,581.0,0.935,0.083,False,CHEMBL2095217;CHEMBL2111439;CHEMBL3650;CHEMBL5291677;CHEMBL5291688,CHEMBL3650,CHEMBL2095217=289;CHEMBL2111439=0;CHEMBL3650=9154;CHEMBL5291677=0;CHEMBL5291688=0,IC50,9154.0
MONDO_0003847,hereditary disease,False,False,ENSG00000130164,LDLR,0.9174,P01130,True,,15.0,5OYL,A,NAG,2.25,high,0.2238,456.0,0.582,0.227,False,CHEMBL3311;CHEMBL4523996,CHEMBL4523996,CHEMBL3311=0;CHEMBL4523996=728,IC50,728.0
MONDO_0003847,hereditary disease,False,False,ENSG00000157404,KIT,0.9154,P10721,True,,57.0,8S14,A,B49,1.5,high,0.2143,302.0,0.855,0.152,False,CHEMBL1936;CHEMBL2111428;CHEMBL4523731;CHEMBL4630731,CHEMBL1936,CHEMBL1936=4485;CHEMBL2111428=0;CHEMBL4523731=0;CHEMBL4630731=0,IC50,4485.0
